Block Chrom StartBP EndBP
1 1 10583 3582736
2 1 3582736 5913893
3 1 5913893 9365199
4 1 9365199 11777841
5 1 11777841 14891511
6 1 14891511 18662899
7 1 18662899 20469149
8 1 20469149 25516845
9 1 25516845 32438685
10 1 32438685 37549183
11 1 37549183 40200567
12 1 40200567 46899501
13 1 46899501 54226262
14 1 54226262 57021728
15 1 57021728 59890409
16 1 59890409 63455089
17 1 63455089 66939404
18 1 66939404 71372470
19 1 71372470 79661198
20 1 79661198 83991748
21 1 83991748 88128631
22 1 88128631 91886317
23 1 91886317 97885249
24 1 97885249 102898745
25 1 102898745 110303931
26 1 110303931 113273306
27 1 113273306 118839067
28 1 118839067 154770403
29 1 154770403 159913048
30 1 159913048 165191702
31 1 165191702 169086324
32 1 169086324 177433381
33 1 177433381 182755356
34 1 182755356 188759945
35 1 188759945 196176201
36 1 196176201 201589975
37 1 201589975 204681068
38 1 204681068 210787750
39 1 210787750 214578266
40 1 214578266 218705513
41 1 218705513 224938520
42 1 224938520 230685255
43 1 230685255 233429284
44 1 233429284 235819436
45 1 235819436 237555628
46 1 237555628 240564091
47 1 240564091 242071602
48 1 242071602 245506746
49 1 245506746 249239466
50 2 10133 3973779
51 2 3973779 6836254
52 2 6836254 10298469
53 2 10298469 12419150
54 2 12419150 16329735
55 2 16329735 19692404
56 2 19692404 23341383
57 2 23341383 29217559
58 2 29217559 31550450
59 2 31550450 36122006
60 2 36122006 40281483
61 2 40281483 44313803
62 2 44313803 47318772
63 2 47318772 52491133
64 2 52491133 58297315
65 2 58297315 65933444
66 2 65933444 69139564
67 2 69139564 75630086
68 2 75630086 80050403
69 2 80050403 88038507
70 2 88038507 105125034
71 2 105125034 108429177
72 2 108429177 116772470
73 2 116772470 123302906
74 2 123302906 129474441
75 2 129474441 135158578
76 2 135158578 141805351
77 2 141805351 147277162
78 2 147277162 154005056
79 2 154005056 159577082
80 2 159577082 167160270
81 2 167160270 171226245
82 2 171226245 175588929
83 2 175588929 181312739
84 2 181312739 191973357
85 2 191973357 198078110
86 2 198078110 205799241
87 2 205799241 209941529
88 2 209941529 218395480
89 2 218395480 222521176
90 2 222521176 228119842
91 2 228119842 231843389
92 2 231843389 235150987
93 2 235150987 237449032
94 2 237449032 243188920
95 3 60157 2992120
96 3 2992120 6083183
97 3 6083183 8648561
98 3 8648561 11019665
99 3 11019665 14816900
100 3 14816900 19125144
101 3 19125144 23804865
102 3 23804865 27840910
103 3 27840910 30717955
104 3 30717955 35283458
105 3 35283458 41064528
106 3 41064528 51832015
107 3 51832015 56433907
108 3 56433907 60272906
109 3 60272906 63669286
110 3 63669286 68286914
111 3 68286914 72529329
112 3 72529329 77508835
113 3 77508835 98215950
114 3 98215950 106982811
115 3 106982811 112815699
116 3 112815699 121974097
117 3 121974097 126214943
118 3 126214943 131836516
119 3 131836516 135456906
120 3 135456906 143164628
121 3 143164628 149043237
122 3 149043237 153256571
123 3 153256571 159477890
124 3 159477890 168580960
125 3 168580960 172295731
126 3 172295731 175116539
127 3 175116539 179374586
128 3 179374586 183769683
129 3 183769683 186890344
130 3 186890344 188856214
131 3 188856214 192343814
132 3 192343814 194786674
133 3 194786674 197946622
134 4 10240 4684116
135 4 4684116 6773043
136 4 6773043 8152235
137 4 8152235 14272001
138 4 14272001 17383322
139 4 17383322 24135529
140 4 24135529 27343722
141 4 27343722 31782981
142 4 31782981 37255047
143 4 37255047 42213058
144 4 42213058 55429556
145 4 55429556 58935008
146 4 58935008 66600492
147 4 66600492 74592390
148 4 74592390 79093979
149 4 79093979 84799656
150 4 84799656 90231564
151 4 90231564 96182188
152 4 96182188 103221356
153 4 103221356 111256567
154 4 111256567 115666246
155 4 115666246 124286481
156 4 124286481 130591885
157 4 130591885 138541971
158 4 138541971 143443265
159 4 143443265 150683580
160 4 150683580 155056126
161 4 155056126 158743718
162 4 158743718 165823448
163 4 165823448 169676825
164 4 169676825 176570716
165 4 176570716 178991910
166 4 178991910 182066807
167 4 182066807 184929455
168 4 184929455 186909090
169 4 186909090 191043594
170 5 11940 3361941
171 5 3361941 5973233
172 5 5973233 9718832
173 5 9718832 13464832
174 5 13464832 16963613
175 5 16963613 22152073
176 5 22152073 26857604
177 5 26857604 33500180
178 5 33500180 36433954
179 5 36433954 41888710
180 5 41888710 55417349
181 5 55417349 58524622
182 5 58524622 67850860
183 5 67850860 73759326
184 5 73759326 77623332
185 5 77623332 82025648
186 5 82025648 87389991
187 5 87389991 95963519
188 5 95963519 104851483
189 5 104851483 110821144
190 5 110821144 115831047
191 5 115831047 120452166
192 5 120452166 125785649
193 5 125785649 134777401
194 5 134777401 142981248
195 5 142981248 148662624
196 5 148662624 152867774
197 5 152867774 158825698
198 5 158825698 162743908
199 5 162743908 166847740
200 5 166847740 169505664
201 5 169505664 172678327
202 5 172678327 175450595
203 5 175450595 178413464
204 5 178413464 180885156
205 6 73924 1452362
206 6 1452362 3573593
207 6 3573593 5791472
208 6 5791472 7808936
209 6 7808936 11790816
210 6 11790816 14802924
211 6 14802924 19207487
212 6 19207487 21684065
213 6 21684065 24852275
214 6 24852275 33236497
215 6 33236497 37572596
216 6 37572596 42038721
217 6 42038721 45406563
218 6 45406563 52210476
219 6 52210476 65765742
220 6 65765742 73450097
221 6 73450097 80691170
222 6 80691170 88822140
223 6 88822140 93428644
224 6 93428644 100630146
225 6 100630146 106056733
226 6 106056733 110304247
227 6 110304247 117672972
228 6 117672972 125424383
229 6 125424383 132765669
230 6 132765669 136224177
231 6 136224177 138822629
232 6 138822629 145319810
233 6 145319810 150253404
234 6 150253404 153094496
235 6 153094496 156763326
236 6 156763326 162169564
237 6 162169564 165586864
238 6 165586864 171051270
239 7 16161 4573428
240 7 4573428 7808752
241 7 7808752 9123423
242 7 9123423 12635461
243 7 12635461 15143657
244 7 15143657 19481547
245 7 19481547 22507629
246 7 22507629 28360309
247 7 28360309 31137289
248 7 31137289 36213538
249 7 36213538 39862670
250 7 39862670 44763828
251 7 44763828 49212278
252 7 49212278 54222976
253 7 54222976 69085364
254 7 69085364 76458564
255 7 76458564 79888069
256 7 79888069 83801203
257 7 83801203 92493752
258 7 92493752 97099570
259 7 97099570 104159525
260 7 104159525 107780178
261 7 107780178 113712387
262 7 113712387 121933630
263 7 121933630 130422414
264 7 130422414 132805848
265 7 132805848 138744679
266 7 138744679 142656310
267 7 142656310 147815318
268 7 147815318 150711505
269 7 150711505 153674019
270 7 153674019 156065250
271 7 156065250 159128575
272 8 10422 2573279
273 8 2573279 4480476
274 8 4480476 7153079
275 8 7153079 13491775
276 8 13491775 17387876
277 8 17387876 19492840
278 8 19492840 22897057
279 8 22897057 26682525
280 8 26682525 31133729
281 8 31133729 38938806
282 8 38938806 53302930
283 8 53302930 59068651
284 8 59068651 65232872
285 8 65232872 70867979
286 8 70867979 73817199
287 8 73817199 81956395
288 8 81956395 90638162
289 8 90638162 96534806
290 8 96534806 101620958
291 8 101620958 104123306
292 8 104123306 111850847
293 8 111850847 119685457
294 8 119685457 124861459
295 8 124861459 128659111
296 8 128659111 133351144
297 8 133351144 136035605
298 8 136035605 140725643
299 8 140725643 146303867
300 9 10023 1916877
